Level,True_Label,Predicted_Label,count
N1,Crimes Contra Pessoa,Violação ou Perturbação ou Dano ou Exercício Arbitrário,41
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Propriedade,35
N1,Crimes Contra Pessoa,"Resistência, Desacato ou Desobediência",30
N1,Crimes Contra Pessoa,Crimes de Trânsito ou Meio Ambiente,18
N1,Crimes Contra Propriedade,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,16
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes de Trânsito ou Meio Ambiente,13
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Pessoa,11
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,"Relacionados a Drogas, Entorpecentes e Porte de Armas",11
N1,Crimes Contra Propriedade,Violação ou Perturbação ou Dano ou Exercício Arbitrário,8
N1,Crimes Contra Pessoa,Crimes Contra Propriedade,8
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Pessoa,7
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Violação ou Perturbação ou Dano ou Exercício Arbitrário,7
N1,Crimes Contra Pessoa,"Relacionados a Drogas, Entorpecentes e Porte de Armas",7
N1,Crimes Contra Propriedade,"Resistência, Desacato ou Desobediência",7
N1,Crimes de Trânsito ou Meio Ambiente,"Resistência, Desacato ou Desobediência",6
N1,"Relacionados a Drogas, Entorpecentes e Porte de Armas",Crimes Contra Pessoa,6
N1,Crimes Contra Propriedade,Crimes de Trânsito ou Meio Ambiente,5
N1,"Resistência, Desacato ou Desobediência","Relacionados a Drogas, Entorpecentes e Porte de Armas",5
N1,Crimes Contra Pessoa,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,4
N1,Crimes Contra Propriedade,Crimes Contra Pessoa,4
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Lesão Corporal,14
N2,Registro de Um Acontecimento,Atos Administrativos,14
N2,Furto,Apropriação Indébita (outros),13
N2,Lei de Drogas (Outros) (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),11
N2,Furto,Estelionato,10
N2,Associação para Tráfico de Droga (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,7
N2,Lesão Corporal,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,7
N2,Desobediência,Desacato,6
N2,Lesão Corporal,Homicídio,6
N2,Tráfico de Drogas (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,6
N2,Lei de Drogas (Outros) (Lei 11.343/06),Associação para Tráfico de Droga (Lei 11.343/06),6
N2,Dano (outros),Violação de Domicílio,6
N2,Atos Administrativos,Registro de Um Acontecimento,6
N2,Associação para Tráfico de Droga (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),5
N2,Tráfico de Drogas (Lei 11.343/06),Associação para Tráfico de Droga (Lei 11.343/06),5
N2,Lei de Drogas (Outros) (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,5
N2,Atos Administrativos,Recuperação de Veículo,5
N2,Desacato,Resistência,5
N2,Furto,Roubo,4
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Descumprimento de Medidas Protetivas de Urgência,4
N3,Desaparecimento outros,Encontro de Desaparecido,19
N3,Lesão Corporal Culposa (outros) (Lei 9503/97),Lesão Corporal Culposa Provocada por Colisão de Veículo,14
N3,Recuperação de Veículo Furtado,Recuperação de Veículo Roubado,13
N3,Roubo outros,Roubo a Transeunte,11
N3,Lesão Corporal (outros),"Lesão Corporal Provocada por Socos, Tapas e Pontapés",10
N3,Cumprimento de Mandado de Prisão,Proveniente de Prisão Preventiva da Unidade Policial,8
N3,Furto no Interior de Estabelecimento Comercial,Furto a Estabelecimento Comercial,8
N3,Proveniente de Prisão Preventiva da Unidade Policial,Cumprimento de Mandado de Prisão,8
N3,Furto outros,Furto a Transeunte,8
N3,Estelionato (outros),Estelionato com Emprego de Cartão de Crédito,7
N3,Roubo no Interior de Estabelecimento Comercial,Roubo a Estabelecimento Comercial,7
N3,Difamação,Calúnia,7
N3,Encontro de Desaparecido,Desaparecimento outros,6
N3,Lesão Corporal Culposa (outros) (Lei 9503/97),Lesão Corporal Culposa Provocada por Atropelamento,6
N3,Vias de Fato,Lesão Corporal (outros),6
N3,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio Provocado por Projétil de Arma de Fogo - Tentativa,5
N3,Roubo outros,Roubo no Interior de Veículo,5
N3,"Lesão Corporal Provocada por Socos, Tapas e Pontapés",Lesão Corporal (outros),5
N3,Roubo a Transeunte,Roubo de Telefone Celular,4
N3,Roubo a Transeunte,Roubo outros,4
