Level,True_Label,Predicted_Label,count,Error_Category,Review
N1,Crimes Contra Pessoa,Violação ou Perturbação ou Dano ou Exercício Arbitrário,41,Coexistência de delitos,Coexistência de delitos
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Propriedade,35,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Crimes Contra Pessoa,"Resistência, Desacato ou Desobediência",30,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Pessoa,Crimes de Trânsito ou Meio Ambiente,18,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Propriedade,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,16,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes de Trânsito ou Meio Ambiente,13,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Pessoa,11,Coexistência de delitos,Coexistência de delitos
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,"Relacionados a Drogas, Entorpecentes e Porte de Armas",11,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Crimes Contra Propriedade,Violação ou Perturbação ou Dano ou Exercício Arbitrário,8,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Pessoa,Crimes Contra Propriedade,8,Coexistência de delitos,Coexistência de delitos
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Pessoa,7,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Violação ou Perturbação ou Dano ou Exercício Arbitrário,7,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Crimes Contra Pessoa,"Relacionados a Drogas, Entorpecentes e Porte de Armas",7,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Propriedade,"Resistência, Desacato ou Desobediência",7,Coexistência de delitos,Coexistência de delitos
N1,Crimes de Trânsito ou Meio Ambiente,"Resistência, Desacato ou Desobediência",6,Coexistência de delitos,Coexistência de delitos
N1,"Relacionados a Drogas, Entorpecentes e Porte de Armas",Crimes Contra Pessoa,6,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Propriedade,Crimes de Trânsito ou Meio Ambiente,5,Coexistência de delitos,Coexistência de delitos
N1,"Resistência, Desacato ou Desobediência","Relacionados a Drogas, Entorpecentes e Porte de Armas",5,Coexistência de delitos,Coexistência de delitos
N1,Crimes Contra Pessoa,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,4,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N1,Crimes Contra Propriedade,Crimes Contra Pessoa,4,Coexistência de delitos,Coexistência de delitos
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Lesão Corporal,14,Delitos relacionados,Delitos relacionados
N2,Registro de Um Acontecimento,Atos Administrativos,14,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N2,Furto,Apropriação Indébita (outros),13,Delitos relacionados,Delitos relacionados
N2,Lei de Drogas (Outros) (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),11,Delitos relacionados,Categoria genérica e subtipo específico
N2,Furto,Estelionato,10,Delitos relacionados,Delitos relacionados
N2,Associação para Tráfico de Droga (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,7,Coexistência de delitos,Coexistência de delitos
N2,Lesão Corporal,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,7,Delitos relacionados,Delitos relacionados
N2,Desobediência,Desacato,6,Delitos relacionados,Delitos relacionados
N2,Lesão Corporal,Homicídio,6,Delitos relacionados,Delitos relacionados
N2,Tráfico de Drogas (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,6,Coexistência de delitos,Coexistência de delitos
N2,Lei de Drogas (Outros) (Lei 11.343/06),Associação para Tráfico de Droga (Lei 11.343/06),6,Delitos relacionados,Categoria genérica e subtipo específico
N2,Dano (outros),Violação de Domicílio,6,Delitos relacionados,Categoria genérica e subtipo específico
N2,Atos Administrativos,Registro de Um Acontecimento,6,Estados do mesmo processo operacional,Estados do mesmo processo operacional
N2,Associação para Tráfico de Droga (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),5,Delitos relacionados,Delitos relacionados
