Level,True_Label,Predicted_Label,count,Error_Category,Review
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Propriedade,232,Operational workflow confusion,Operational workflow confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Pessoa,143,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Propriedade,Crimes Contra Pessoa,81,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Pessoa,Crimes de Trânsito ou Meio Ambiente,74,Crimes coexistence confusion,Crimes coexistence confusion
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Propriedade,52,Crimes coexistence confusion,Crimes coexistence confusion
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Pessoa,51,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes de Trânsito ou Meio Ambiente,Crimes Contra Propriedade,46,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Pessoa,Crimes Contra Propriedade,41,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes de Trânsito ou Meio Ambiente,37,Operational workflow confusion,Operational workflow confusion
N1,"Resistência, Desacato ou Desobediência",Crimes Contra Pessoa,37,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Propriedade,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,32,Operational workflow confusion,Operational workflow confusion
N1,"Relacionados a Drogas, Entorpecentes e Porte de Armas",Crimes Contra Pessoa,17,Crimes coexistence confusion,Crimes coexistence confusion
N1,"Relacionados a Drogas, Entorpecentes e Porte de Armas",Crimes Contra Propriedade,17,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Pessoa,"Resistência, Desacato ou Desobediência",16,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,"Relacionados a Drogas, Entorpecentes e Porte de Armas",13,Operational workflow confusion,Operational workflow confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,"Resistência, Desacato ou Desobediência",10,Operational workflow confusion,Operational workflow confusion
N1,"Resistência, Desacato ou Desobediência",Crimes Contra Propriedade,8,Crimes coexistence confusion,Crimes coexistence confusion
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Sem Classificação,6,Crimes coexistence confusion,Unclassified
N1,Crimes de Trânsito ou Meio Ambiente,Crimes Contra Pessoa,5,Crimes coexistence confusion,Crimes coexistence confusion
