Level,True_Label,Predicted_Label,count,Error_Category,Review
N1,Crimes Contra Pessoa,Violação ou Perturbação ou Dano ou Exercício Arbitrário,104,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Propriedade,45,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Pessoa,Crimes de Trânsito ou Meio Ambiente,40,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Propriedade,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,31,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Pessoa,"Resistência, Desacato ou Desobediência",26,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Pessoa,Crimes Contra Propriedade,21,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes de Trânsito ou Meio Ambiente,21,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Propriedade,Violação ou Perturbação ou Dano ou Exercício Arbitrário,17,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,"Relacionados a Drogas, Entorpecentes e Porte de Armas",13,Operational workflow confusion,Operational workflow confusion
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Pessoa,12,Crimes coexistence confusion,Crimes coexistence confusion
N1,Violação ou Perturbação ou Dano ou Exercício Arbitrário,Crimes Contra Propriedade,10,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Violação ou Perturbação ou Dano ou Exercício Arbitrário,10,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Propriedade,"Relacionados a Drogas, Entorpecentes e Porte de Armas",9,Crimes coexistence confusion,Crimes coexistence confusion
N1,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,Crimes Contra Pessoa,8,Operational workflow confusion,Operational workflow confusion
N1,"Resistência, Desacato ou Desobediência","Relacionados a Drogas, Entorpecentes e Porte de Armas",7,Crimes coexistence confusion,Crimes coexistence confusion
N1,"Relacionados a Drogas, Entorpecentes e Porte de Armas","Resistência, Desacato ou Desobediência",7,Crimes coexistence confusion,Crimes coexistence confusion
N1,Crimes Contra Pessoa,Recuperação de Veículo ou Atos Administrativos ou Registro de Acontecimentos,6,Operational workflow confusion,Operational workflow confusion
N1,Crimes Contra Propriedade,Crimes de Trânsito ou Meio Ambiente,5,Crimes coexistence confusion,Crimes coexistence confusion
N1,"Resistência, Desacato ou Desobediência",Crimes de Trânsito ou Meio Ambiente,5,Crimes coexistence confusion,Crimes coexistence confusion
N1,"Resistência, Desacato ou Desobediência",Crimes Contra Pessoa,4,Crimes coexistence confusion,Crimes coexistence confusion
N2,Furto,Apropriação Indébita (outros),12,Generic-versus-specific subtype confusion,Semantic overlap confusion
N2,Registro de Um Acontecimento,Atos Administrativos,11,Operational workflow confusion,Semantic overlap confusion
N2,Lesão Corporal,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,10,Semantic overlap confusion,Semantic overlap confusion
N2,Roubo,Receptação,9,Semantic overlap confusion,Operational workflow confusion
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Lesão Corporal,9,Semantic overlap confusion,Semantic overlap confusion
N2,Ameaça ou Injúria ou Perseguição ou Dano ou Extorsão,Descumprimento de Medidas Protetivas de Urgência,8,Semantic overlap confusion,Semantic overlap confusion
N2,Porte Ilegal de Arma de Fogo de Uso Restrito,Associação para Tráfico de Droga (Lei 11.343/06),8,Crimes coexistence confusion,Crimes coexistence confusion
N2,Tráfico de Drogas (Lei 11.343/06),Associação para Tráfico de Droga (Lei 11.343/06),8,Semantic overlap confusion,Semantic overlap confusion
N2,Atos Administrativos,Registro de Um Acontecimento,8,Operational workflow confusion,Semantic overlap confusion
N2,Lei de Drogas (Outros) (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),7,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N2,Dano (outros),Violação de Domicílio,7,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N2,Lesão Corporal,Homicídio,7,Semantic overlap confusion,Semantic overlap confusion
N2,Lesão Corporal,Descumprimento de Medidas Protetivas de Urgência,7,Semantic overlap confusion,Crimes coexistence confusion
N2,Furto,Roubo,7,Semantic overlap confusion,Semantic overlap confusion
N2,Desobediência,Resistência,6,Semantic overlap confusion,Semantic overlap confusion
N2,Associação para Tráfico de Droga (Lei 11.343/06),Porte Ilegal de Arma de Fogo de Uso Restrito,6,Crimes coexistence confusion,Crimes coexistence confusion
N2,Resistência,Desacato,5,Semantic overlap confusion,Crimes coexistence confusion
N2,Associação para Tráfico de Droga (Lei 11.343/06),Lei de Drogas (Outros) (Lei 11.343/06),5,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N2,Associação para Tráfico de Droga (Lei 11.343/06),Tráfico de Drogas (Lei 11.343/06),5,Semantic overlap confusion,Semantic overlap confusion
N2,Adulteração de Sinal Identificador de Veículo Automotor,"Falta de Habilitação, Proibição Dirigir Veículo Automotor",4,Crimes coexistence confusion,Crimes coexistence confusion
N3,Desaparecimento outros,Encontro de Desaparecido,15,Operational workflow confusion,Operational workflow confusion
N3,Cumprimento de Mandado de Prisão,Proveniente de Prisão Preventiva da Unidade Policial,11,Operational workflow confusion,Operational workflow confusion
N3,Encontro de Desaparecido,Desaparecimento outros,10,Operational workflow confusion,Operational workflow confusion
N3,Recuperação de Veículo Roubado,Recuperação de Veículo Furtado,8,Operational workflow confusion,Semantic overlap confusion
N3,Roubo no Interior de Estabelecimento Comercial,Roubo a Estabelecimento Comercial,8,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N3,Recuperação de Veículo Furtado,Recuperação de Veículo Roubado,7,Operational workflow confusion,Semantic overlap confusion
N3,Proveniente de Prisão Preventiva da Unidade Policial,Cumprimento de Mandado de Prisão,7,Operational workflow confusion,Operational workflow confusion
N3,Estelionato (outros),Estelionato com Emprego de Cartão de Crédito,7,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N3,Furto a Transeunte,Furto de Telefone Celular,6,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N3,Roubo outros,Roubo no Interior de Veículo,6,Generic-versus-specific subtype confusion,Generic-versus-specific subtype confusion
N3,Roubo no Interior de Veículo,Roubo a Transeunte,6,Generic-versus-specific subtype confusion,Semantic overlap confusion
