Column Name;Description
Label;Correct class for level 3.
DINAMICA;Text of the record of a crime narrative
;
N1 llama Classification;Classification of the crime narrative into one of the available classes at level 1, performed by an LLM pre-trained llama3.1 8b instruct
N1 llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response of the pre-trained llama3.1 8b instruct model at level 1
N1 llama Pred Log Proba;Token average log-probability associated with the class predicted by the Llama model at hierarchical level N1
N1 llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the Llama model at hierarchical level N1
N2 llama Classification;Classification of the crime narrative into one of the available classes at level 2, performed by an LLM pre-trained llama3.1 8b instruct
N2 llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response of the pre-trained llama3.1 8b instruct model at level 2
N2 llama Pred Log Proba;Token average log-probability associated with the class predicted by the Llama model at hierarchical level N2
N2 llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the Llama model at hierarchical level N2
N3 llama Classification;Classification of the crime narrative into one of the available classes at level 3, performed by an LLM pre-trained llama3.1 8b instruct
N3 llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response of the pre-trained llama3.1 8b instruct model at level 3
N3 llama Pred Log Proba;Token average log-probability associated with the class predicted by the Llama model at hierarchical level N3
N3 llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the Llama model at hierarchical level N3
Llama Final Prediction Proba;Probability generated by multiplying the probabilities from levels 1, 2, and 3 for the pre-trained llama3.1 8b instruct model
Llama Calibrated Final Proba;Final calibrated confidence score of the Llama model obtained by multiplying the temperature-scaled confidence scores from N1, N2, and N3
N1 llama Correct;Indicates whether the class predicted by the Llama model at hierarchical level N1 matches the ground-truth class
N2 llama Correct;Indicates whether the class predicted by the Llama model at hierarchical level N2 matches the ground-truth class
N3 llama Correct;Indicates whether the class predicted by the Llama model at hierarchical level N3 matches the ground-truth class
;
N1 fine_llama Classification;Classification of the crime narrative into one of the available classes at level 1, performed by an LLM llama3.1 8b instruct fine-tuned on the data.
N1 fine_llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response at level 1 of the llama3.1 8b instruct model fine-tuned on the data.
N1 fine_llama Pred Log Proba;Token average log-probability associated with the class predicted by the Fine Llama model at hierarchical level N1
N1 fine_llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the FineLlama model at hierarchical level N1
N2 fine_llama Classification;Classification of the crime narrative into one of the available classes at level 2, performed by an LLM llama3.1 8b instruct fine-tuned on the data.
N2 fine_llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response at level 2 of the llama3.1 8b instruct model fine-tuned on the data.
N2 fine_llama Pred Log Proba;Token average log-probability associated with the class predicted by the Fine Llama model at hierarchical level N2
N2 fine_llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the Fine Llama model at hierarchical level N2
N3 fine_llama Classification;Classification of the crime narrative into one of the available classes at level 3, performed by an LLM llama3.1 8b instruct fine-tuned on the data.
N3 fine_llama Pred Proba;Probability of the answer being correct, calculated from the token-generation probability in the response at level 3 of the llama3.1 8b instruct model fine-tuned on the data.
N3 fine_llama Pred Log Proba;Token average log-probability associated with the class predicted by the Fine Llama model at hierarchical level N3
N3 fine_llama Calibrated Proba;Temperature-scaled confidence score associated with the class predicted by the Fine Llama model at hierarchical level N3
Fine Llama Final Prediction Proba;Probability generated by multiplying the probabilities from levels 1, 2, and 3 for the llama3.1 8b instruct model fine-tuned on the data.
Fine Llama Calibrated Final Proba;Final calibrated confidence score of the Fine Llama model obtained by multiplying the temperature-scaled confidence scores from N1, N2, and N3
N1 fine_llama Correct;Indicates whether the class predicted by the Fine Llama model at hierarchical level N1 matches the ground-truth class
N2 fine_llama Correct;Indicates whether the class predicted by the Fine Llama model at hierarchical level N2 matches the ground-truth class
N3 fine_llama Correct;Indicates whether the class predicted by the Fine Llama model at hierarchical level N3 matches the ground-truth class
;
N1 ML Classification;Classification of the crime narrative performed by an XGBoost model at level 1 trained on the data.
N1 Pred Proba;Prediction probability returned by the XGBoost model at level 1.
N2 ML Classification;Classification of the crime narrative performed by an XGBoost model at level 2 trained on the data.
N2 Pred Proba;Prediction probability returned by the XGBoost model at level 2.
N3 ML Classification;Classification of the crime narrative performed by an XGBoost model at level 3 trained on the data.
N3 Pred Proba;Prediction probability returned by the XGBoost model at level 3.
ML Final Prediction Proba;Probability generated by multiplying the probabilities from levels 1, 2, and 3 for the XGBoost model.
N1 ML Correct;Indicates whether the class predicted by the XGBoost model at hierarchical level N1 matches the ground-truth class
N1 ML Correct;Indicates whether the class predicted by the XGBoost model at hierarchical level N2 matches the ground-truth class
N1 ML Correct;Indicates whether the class predicted by the XGBoost model at hierarchical level N3 matches the ground-truth class
;
Joint Classification;Considering the final classification probabilities at level 3 from each of the models, the one with the highest confidence will provide the classification result.
ML + Llama;Similar to Joint Classification considering only XGBoost and Llama.
ML + Fine Llama;Similar to Joint Classification considering only XGBoost and Llama fine-tuned.
Llama + Fine Llama;Similar to Joint Classification considering only Llama and Llama fine-tuned.
Label_N1;Correct class for level 1.
Label_N2;Correct class for level 2.
Label_N3;Correct class for level 3.
